date,season,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
2025-06-03,2025,14,3,Seattle Storm,Dallas Wings,83,77
2025-06-05,2025,16,9,Washington Mystics,New York Liberty,78,86
2025-06-05,2025,11,129689,Phoenix Mercury,Golden State Valkyries,86,77
2025-06-06,2025,18,20,Connecticut Sun,Atlanta Dream,84,76
2025-06-06,2025,3,6,Dallas Wings,Los Angeles Sparks,79,93
2025-06-07,2025,129689,17,Golden State Valkyries,Las Vegas Aces,95,68
2025-06-07,2025,19,5,Chicago Sky,Indiana Fever,52,79
2025-06-07,2025,11,14,Phoenix Mercury,Seattle Storm,77,89
2025-06-08,2025,16,18,Washington Mystics,Connecticut Sun,104,67
2025-06-08,2025,3,8,Dallas Wings,Minnesota Lynx,65,81
2025-06-09,2025,6,129689,Los Angeles Sparks,Golden State Valkyries,81,89
2025-06-10,2025,20,5,Atlanta Dream,Indiana Fever,77,58
2025-06-10,2025,9,19,New York Liberty,Chicago Sky,85,66
2025-06-11,2025,17,6,Las Vegas Aces,Los Angeles Sparks,89,97
2025-06-11,2025,11,3,Phoenix Mercury,Dallas Wings,93,80
2025-06-11,2025,14,8,Seattle Storm,Minnesota Lynx,94,84
2025-06-13,2025,20,19,Atlanta Dream,Chicago Sky,88,70
2025-06-13,2025,17,3,Las Vegas Aces,Dallas Wings,88,84
2025-06-14,2025,8,6,Minnesota Lynx,Los Angeles Sparks,101,78
2025-06-14,2025,5,9,Indiana Fever,New York Liberty,102,88
2025-06-14,2025,129689,14,Golden State Valkyries,Seattle Storm,76,70
2025-06-15,2025,18,19,Connecticut Sun,Chicago Sky,66,78
2025-06-15,2025,16,20,Washington Mystics,Atlanta Dream,56,89
2025-06-15,2025,17,11,Las Vegas Aces,Phoenix Mercury,70,76
2025-06-17,2025,5,18,Indiana Fever,Connecticut Sun,88,71
2025-06-17,2025,9,20,New York Liberty,Atlanta Dream,86,81
2025-06-17,2025,19,16,Chicago Sky,Washington Mystics,72,79
2025-06-17,2025,3,129689,Dallas Wings,Golden State Valkyries,80,71
2025-06-17,2025,8,17,Minnesota Lynx,Las Vegas Aces,76,62
2025-06-17,2025,6,14,Los Angeles Sparks,Seattle Storm,67,98
2025-06-18,2025,18,11,Connecticut Sun,Phoenix Mercury,75,83
2025-06-19,2025,9,11,New York Liberty,Phoenix Mercury,81,89
2025-06-19,2025,129689,5,Golden State Valkyries,Indiana Fever,88,77
2025-06-20,2025,20,16,Atlanta Dream,Washington Mystics,92,91
2025-06-20,2025,18,3,Connecticut Sun,Dallas Wings,83,86
2025-06-20,2025,17,14,Las Vegas Aces,Seattle Storm,83,90
2025-06-21,2025,19,11,Chicago Sky,Phoenix Mercury,86,107
2025-06-21,2025,8,6,Minnesota Lynx,Los Angeles Sparks,82,66
2025-06-22,2025,20,19,Atlanta Dream,Chicago Sky,93,80
2025-06-22,2025,16,3,Washington Mystics,Dallas Wings,91,88
2025-06-22,2025,17,5,Las Vegas Aces,Indiana Fever,89,81
2025-06-22,2025,14,9,Seattle Storm,New York Liberty,89,79
2025-06-22,2025,129689,18,Golden State Valkyries,Connecticut Sun,87,63
2025-06-24,2025,16,8,Washington Mystics,Minnesota Lynx,68,64
2025-06-24,2025,19,6,Chicago Sky,Los Angeles Sparks,97,86
2025-06-24,2025,3,20,Dallas Wings,Atlanta Dream,68,55
2025-06-24,2025,14,5,Seattle Storm,Indiana Fever,86,94
2025-06-25,2025,129689,9,Golden State Valkyries,New York Liberty,78,81
2025-06-25,2025,17,18,Las Vegas Aces,Connecticut Sun,85,59
2025-06-26,2025,5,6,Indiana Fever,Los Angeles Sparks,75,85
2025-06-26,2025,17,16,Las Vegas Aces,Washington Mystics,83,94
2025-06-27,2025,20,8,Atlanta Dream,Minnesota Lynx,92,96
2025-06-27,2025,3,5,Dallas Wings,Indiana Fever,86,94
2025-06-27,2025,129689,19,Golden State Valkyries,Chicago Sky,83,78
2025-06-27,2025,11,9,Phoenix Mercury,New York Liberty,106,91
2025-06-27,2025,14,18,Seattle Storm,Connecticut Sun,97,81
2025-06-28,2025,3,16,Dallas Wings,Washington Mystics,79,71
2025-06-29,2025,20,9,Atlanta Dream,New York Liberty,90,81
2025-06-29,2025,6,19,Los Angeles Sparks,Chicago Sky,85,92
2025-06-29,2025,11,17,Phoenix Mercury,Las Vegas Aces,81,84
2025-06-29,2025,8,18,Minnesota Lynx,Connecticut Sun,102,63
2025-06-29,2025,129689,14,Golden State Valkyries,Seattle Storm,84,57
2025-07-01,2025,8,5,Minnesota Lynx,Indiana Fever,59,74
2025-07-03,2025,5,17,Indiana Fever,Las Vegas Aces,81,54
2025-07-03,2025,9,6,New York Liberty,Los Angeles Sparks,89,79
2025-07-03,2025,20,14,Atlanta Dream,Seattle Storm,79,80
2025-07-03,2025,3,11,Dallas Wings,Phoenix Mercury,98,89
2025-07-03,2025,8,16,Minnesota Lynx,Washington Mystics,92,75
2025-07-05,2025,5,6,Indiana Fever,Los Angeles Sparks,87,89
2025-07-05,2025,8,129689,Minnesota Lynx,Golden State Valkyries,82,71
2025-07-06,2025,9,14,New York Liberty,Seattle Storm,70,79
2025-07-06,2025,18,17,Connecticut Sun,Las Vegas Aces,68,86
2025-07-06,2025,8,19,Minnesota Lynx,Chicago Sky,80,75
2025-07-07,2025,20,129689,Atlanta Dream,Golden State Valkyries,90,81
2025-07-07,2025,11,3,Phoenix Mercury,Dallas Wings,102,72
2025-07-08,2025,16,19,Washington Mystics,Chicago Sky,81,79
2025-07-08,2025,9,17,New York Liberty,Las Vegas Aces,87,78
2025-07-09,2025,18,14,Connecticut Sun,Seattle Storm,93,83
2025-07-09,2025,5,129689,Indiana Fever,Golden State Valkyries,61,80
2025-07-09,2025,11,8,Phoenix Mercury,Minnesota Lynx,79,71
2025-07-09,2025,19,3,Chicago Sky,Dallas Wings,87,76
2025-07-10,2025,6,8,Los Angeles Sparks,Minnesota Lynx,82,91
2025-07-10,2025,16,17,Washington Mystics,Las Vegas Aces,70,68
2025-07-11,2025,5,20,Indiana Fever,Atlanta Dream,99,82
2025-07-11,2025,14,18,Seattle Storm,Connecticut Sun,79,65
2025-07-12,2025,19,8,Chicago Sky,Minnesota Lynx,87,81
2025-07-12,2025,17,129689,Las Vegas Aces,Golden State Valkyries,104,102
2025-07-13,2025,5,3,Indiana Fever,Dallas Wings,102,83
2025-07-13,2025,9,20,New York Liberty,Atlanta Dream,79,72
2025-07-13,2025,6,18,Los Angeles Sparks,Connecticut Sun,92,88
2025-07-13,2025,14,16,Seattle Storm,Washington Mystics,69,74
2025-07-14,2025,19,8,Chicago Sky,Minnesota Lynx,78,91
2025-07-14,2025,129689,11,Golden State Valkyries,Phoenix Mercury,77,78
2025-07-15,2025,18,5,Connecticut Sun,Indiana Fever,77,85
2025-07-15,2025,6,16,Los Angeles Sparks,Washington Mystics,99,80
2025-07-16,2025,19,20,Chicago Sky,Atlanta Dream,49,86
2025-07-16,2025,8,11,Minnesota Lynx,Phoenix Mercury,79,66
2025-07-16,2025,14,129689,Seattle Storm,Golden State Valkyries,67,58
2025-07-16,2025,9,5,New York Liberty,Indiana Fever,98,77
2025-07-16,2025,3,17,Dallas Wings,Las Vegas Aces,86,90
2025-07-19,2025,131246,131247,TEAM CLARK,TEAM COLLIER,131,151
2025-07-22,2025,16,6,Washington Mystics,Los Angeles Sparks,86,93
2025-07-22,2025,9,5,New York Liberty,Indiana Fever,98,84
2025-07-22,2025,8,19,Minnesota Lynx,Chicago Sky,91,68
2025-07-22,2025,17,20,Las Vegas Aces,Atlanta Dream,87,72
2025-07-22,2025,14,3,Seattle Storm,Dallas Wings,63,87
2025-07-23,2025,11,20,Phoenix Mercury,Atlanta Dream,79,90
2025-07-24,2025,18,6,Connecticut Sun,Los Angeles Sparks,86,101
2025-07-24,2025,5,17,Indiana Fever,Las Vegas Aces,80,70
2025-07-24,2025,19,14,Chicago Sky,Seattle Storm,57,95
2025-07-25,2025,9,11,New York Liberty,Phoenix Mercury,89,76
2025-07-25,2025,8,17,Minnesota Lynx,Las Vegas Aces,109,78
2025-07-25,2025,129689,3,Golden State Valkyries,Dallas Wings,86,76
2025-07-26,2025,9,6,New York Liberty,Los Angeles Sparks,99,101
2025-07-26,2025,16,14,Washington Mystics,Seattle Storm,69,58
2025-07-27,2025,18,129689,Connecticut Sun,Golden State Valkyries,95,64
2025-07-27,2025,19,5,Chicago Sky,Indiana Fever,78,93
2025-07-27,2025,3,17,Dallas Wings,Las Vegas Aces,80,106
2025-07-27,2025,16,11,Washington Mystics,Phoenix Mercury,72,88
2025-07-27,2025,8,20,Minnesota Lynx,Atlanta Dream,86,90
2025-07-28,2025,18,14,Connecticut Sun,Seattle Storm,85,101
2025-07-28,2025,3,9,Dallas Wings,New York Liberty,92,82
2025-07-29,2025,20,129689,Atlanta Dream,Golden State Valkyries,75,77
2025-07-29,2025,16,19,Washington Mystics,Chicago Sky,103,86
2025-07-29,2025,6,17,Los Angeles Sparks,Las Vegas Aces,74,89
2025-07-30,2025,5,11,Indiana Fever,Phoenix Mercury,107,101
2025-07-30,2025,3,20,Dallas Wings,Atlanta Dream,85,88
2025-07-30,2025,8,9,Minnesota Lynx,New York Liberty,100,93
2025-07-31,2025,16,129689,Washington Mystics,Golden State Valkyries,67,68
2025-08-01,2025,20,11,Atlanta Dream,Phoenix Mercury,95,72
2025-08-01,2025,18,9,Connecticut Sun,New York Liberty,78,62
2025-08-01,2025,19,129689,Chicago Sky,Golden State Valkyries,66,73
2025-08-01,2025,3,5,Dallas Wings,Indiana Fever,78,88
2025-08-01,2025,14,6,Seattle Storm,Los Angeles Sparks,106,108
2025-08-02,2025,17,8,Las Vegas Aces,Minnesota Lynx,58,111
2025-08-03,2025,18,9,Connecticut Sun,New York Liberty,78,87
2025-08-03,2025,20,16,Atlanta Dream,Washington Mystics,99,83
2025-08-03,2025,14,5,Seattle Storm,Indiana Fever,74,78
2025-08-03,2025,19,11,Chicago Sky,Phoenix Mercury,67,83
2025-08-03,2025,17,129689,Las Vegas Aces,Golden State Valkyries,101,77
2025-08-05,2025,9,3,New York Liberty,Dallas Wings,85,76
2025-08-05,2025,19,16,Chicago Sky,Washington Mystics,78,64
2025-08-05,2025,6,5,Los Angeles Sparks,Indiana Fever,100,91
2025-08-05,2025,11,18,Phoenix Mercury,Connecticut Sun,82,66
2025-08-05,2025,14,8,Seattle Storm,Minnesota Lynx,87,91
2025-08-06,2025,129689,17,Golden State Valkyries,Las Vegas Aces,72,78
2025-08-07,2025,19,20,Chicago Sky,Atlanta Dream,65,86
2025-08-07,2025,6,18,Los Angeles Sparks,Connecticut Sun,102,91
2025-08-07,2025,11,5,Phoenix Mercury,Indiana Fever,95,60
2025-08-08,2025,3,9,Dallas Wings,New York Liberty,77,88
2025-08-08,2025,8,16,Minnesota Lynx,Washington Mystics,80,76
2025-08-08,2025,17,14,Las Vegas Aces,Seattle Storm,90,86
2025-08-09,2025,5,19,Indiana Fever,Chicago Sky,92,70
2025-08-09,2025,129689,6,Golden State Valkyries,Los Angeles Sparks,72,59
2025-08-10,2025,9,8,New York Liberty,Minnesota Lynx,71,83
2025-08-10,2025,3,16,Dallas Wings,Washington Mystics,78,91
2025-08-10,2025,11,20,Phoenix Mercury,Atlanta Dream,66,74
2025-08-10,2025,6,14,Los Angeles Sparks,Seattle Storm,94,91
2025-08-10,2025,17,18,Las Vegas Aces,Connecticut Sun,94,86
2025-08-11,2025,129689,18,Golden State Valkyries,Connecticut Sun,74,57
2025-08-12,2025,5,3,Indiana Fever,Dallas Wings,80,81
2025-08-12,2025,6,9,Los Angeles Sparks,New York Liberty,97,105
2025-08-13,2025,18,19,Connecticut Sun,Chicago Sky,71,62
2025-08-13,2025,16,129689,Washington Mystics,Golden State Valkyries,83,88
2025-08-13,2025,17,9,Las Vegas Aces,New York Liberty,83,77
2025-08-13,2025,14,20,Seattle Storm,Atlanta Dream,75,85
2025-08-15,2025,5,16,Indiana Fever,Washington Mystics,84,88
2025-08-15,2025,19,129689,Chicago Sky,Golden State Valkyries,59,90
2025-08-15,2025,3,6,Dallas Wings,Los Angeles Sparks,96,97
2025-08-15,2025,20,14,Atlanta Dream,Seattle Storm,78,80
2025-08-15,2025,11,17,Phoenix Mercury,Las Vegas Aces,83,86
2025-08-16,2025,8,9,Minnesota Lynx,New York Liberty,86,80
2025-08-17,2025,18,5,Connecticut Sun,Indiana Fever,93,99
2025-08-17,2025,16,6,Washington Mystics,Los Angeles Sparks,95,86
2025-08-17,2025,17,3,Las Vegas Aces,Dallas Wings,106,87
2025-08-17,2025,14,11,Seattle Storm,Phoenix Mercury,82,85
2025-08-17,2025,129689,20,Golden State Valkyries,Atlanta Dream,63,79
2025-08-19,2025,9,8,New York Liberty,Minnesota Lynx,85,75
2025-08-19,2025,16,18,Washington Mystics,Connecticut Sun,69,80
2025-08-19,2025,19,14,Chicago Sky,Seattle Storm,88,94
2025-08-19,2025,17,20,Las Vegas Aces,Atlanta Dream,74,72
2025-08-19,2025,129689,11,Golden State Valkyries,Phoenix Mercury,91,98
2025-08-20,2025,6,3,Los Angeles Sparks,Dallas Wings,81,80
2025-08-21,2025,18,16,Connecticut Sun,Washington Mystics,67,56
2025-08-21,2025,9,19,New York Liberty,Chicago Sky,85,91
2025-08-21,2025,20,8,Atlanta Dream,Minnesota Lynx,75,73
2025-08-21,2025,17,11,Las Vegas Aces,Phoenix Mercury,83,61
2025-08-22,2025,5,8,Indiana Fever,Minnesota Lynx,90,95
2025-08-22,2025,3,14,Dallas Wings,Seattle Storm,60,95
2025-08-22,2025,11,129689,Phoenix Mercury,Golden State Valkyries,81,72
2025-08-23,2025,20,9,Atlanta Dream,New York Liberty,78,62
2025-08-23,2025,16,17,Washington Mystics,Las Vegas Aces,81,91
2025-08-23,2025,19,18,Chicago Sky,Connecticut Sun,84,94
2025-08-24,2025,16,14,Washington Mystics,Seattle Storm,82,84
2025-08-24,2025,3,129689,Dallas Wings,Golden State Valkyries,81,90
2025-08-24,2025,8,5,Minnesota Lynx,Indiana Fever,97,84
2025-08-25,2025,9,18,New York Liberty,Connecticut Sun,81,79
2025-08-25,2025,19,17,Chicago Sky,Las Vegas Aces,74,79
2025-08-26,2025,5,14,Indiana Fever,Seattle Storm,95,75
2025-08-26,2025,6,11,Los Angeles Sparks,Phoenix Mercury,84,92
2025-08-27,2025,20,17,Atlanta Dream,Las Vegas Aces,75,81
2025-08-27,2025,3,18,Dallas Wings,Connecticut Sun,95,101
2025-08-28,2025,9,16,New York Liberty,Washington Mystics,89,63
2025-08-28,2025,8,14,Minnesota Lynx,Seattle Storm,79,93
2025-08-28,2025,11,19,Phoenix Mercury,Chicago Sky,83,79
2025-08-29,2025,20,3,Atlanta Dream,Dallas Wings,100,78
2025-08-29,2025,6,5,Los Angeles Sparks,Indiana Fever,75,76
2025-08-30,2025,18,8,Connecticut Sun,Minnesota Lynx,70,94
2025-08-30,2025,129689,16,Golden State Valkyries,Washington Mystics,99,62
2025-08-30,2025,14,19,Seattle Storm,Chicago Sky,79,69
2025-08-30,2025,11,9,Phoenix Mercury,New York Liberty,80,63
2025-08-31,2025,6,16,Los Angeles Sparks,Washington Mystics,81,78
2025-08-31,2025,129689,5,Golden State Valkyries,Indiana Fever,75,63
2025-09-01,2025,18,20,Connecticut Sun,Atlanta Dream,76,93
2025-09-01,2025,8,3,Minnesota Lynx,Dallas Wings,96,71
2025-09-01,2025,14,6,Seattle Storm,Los Angeles Sparks,85,91
2025-09-02,2025,129689,9,Golden State Valkyries,New York Liberty,66,58
2025-09-02,2025,11,5,Phoenix Mercury,Indiana Fever,85,79
2025-09-03,2025,20,6,Atlanta Dream,Los Angeles Sparks,86,75
2025-09-03,2025,19,18,Chicago Sky,Connecticut Sun,88,64
2025-09-04,2025,16,11,Washington Mystics,Phoenix Mercury,69,75
2025-09-04,2025,129689,3,Golden State Valkyries,Dallas Wings,84,80
2025-09-04,2025,17,8,Las Vegas Aces,Minnesota Lynx,97,87
2025-09-05,2025,20,6,Atlanta Dream,Los Angeles Sparks,104,85
2025-09-05,2025,5,19,Indiana Fever,Chicago Sky,97,77
2025-09-05,2025,14,9,Seattle Storm,New York Liberty,76,84
2025-09-06,2025,18,11,Connecticut Sun,Phoenix Mercury,87,84
2025-09-06,2025,129689,8,Golden State Valkyries,Minnesota Lynx,72,78
2025-09-07,2025,16,5,Washington Mystics,Indiana Fever,65,94
2025-09-07,2025,6,3,Los Angeles Sparks,Dallas Wings,91,77
2025-09-07,2025,17,19,Las Vegas Aces,Chicago Sky,80,66
2025-09-08,2025,20,18,Atlanta Dream,Connecticut Sun,87,62
2025-09-09,2025,9,16,New York Liberty,Washington Mystics,75,66
2025-09-09,2025,5,8,Indiana Fever,Minnesota Lynx,83,72
2025-09-09,2025,17,19,Las Vegas Aces,Chicago Sky,92,61
2025-09-09,2025,11,6,Phoenix Mercury,Los Angeles Sparks,83,88
2025-09-09,2025,14,129689,Seattle Storm,Golden State Valkyries,74,73
2025-09-10,2025,18,20,Connecticut Sun,Atlanta Dream,72,88
2025-09-11,2025,19,9,Chicago Sky,New York Liberty,86,91
2025-09-11,2025,3,11,Dallas Wings,Phoenix Mercury,97,76
2025-09-11,2025,8,129689,Minnesota Lynx,Golden State Valkyries,72,53
2025-09-11,2025,6,17,Los Angeles Sparks,Las Vegas Aces,75,103
2025-09-14,2025,8,129689,Minnesota Lynx,Golden State Valkyries,101,72
2025-09-14,2025,20,5,Atlanta Dream,Indiana Fever,80,68
2025-09-14,2025,11,9,Phoenix Mercury,New York Liberty,69,76
2025-09-14,2025,17,14,Las Vegas Aces,Seattle Storm,102,77
2025-09-16,2025,5,20,Indiana Fever,Atlanta Dream,77,60
2025-09-16,2025,14,17,Seattle Storm,Las Vegas Aces,86,83
2025-09-17,2025,9,11,New York Liberty,Phoenix Mercury,60,86
2025-09-17,2025,129689,8,Golden State Valkyries,Minnesota Lynx,74,75
2025-09-18,2025,20,5,Atlanta Dream,Indiana Fever,85,87
2025-09-18,2025,17,14,Las Vegas Aces,Seattle Storm,74,73
2025-09-19,2025,11,9,Phoenix Mercury,New York Liberty,79,73
2025-09-21,2025,17,5,Las Vegas Aces,Indiana Fever,73,89
2025-09-21,2025,8,11,Minnesota Lynx,Phoenix Mercury,82,69
2025-09-23,2025,8,11,Minnesota Lynx,Phoenix Mercury,83,89
2025-09-23,2025,17,5,Las Vegas Aces,Indiana Fever,90,68
2025-09-26,2025,5,17,Indiana Fever,Las Vegas Aces,72,84
2025-09-26,2025,11,8,Phoenix Mercury,Minnesota Lynx,84,76
2025-09-28,2025,5,17,Indiana Fever,Las Vegas Aces,90,83
2025-09-28,2025,11,8,Phoenix Mercury,Minnesota Lynx,86,81
2025-09-30,2025,17,5,Las Vegas Aces,Indiana Fever,107,98
2025-10-03,2025,17,11,Las Vegas Aces,Phoenix Mercury,89,86
2025-10-05,2025,17,11,Las Vegas Aces,Phoenix Mercury,91,78
2025-10-08,2025,11,17,Phoenix Mercury,Las Vegas Aces,88,90
2025-10-10,2025,11,17,Phoenix Mercury,Las Vegas Aces,86,97
